"opportunity_id","sales_agent","product","account","deal_stage","engage_date","close_date","close_value","engage_status","close_status","quarter","sector","year_established","revenue","employees","office_location","subsidiary_of","series","sales_price","manager","regional_office"
"6SNUFVQP","Anna Snelling","MG Special","Rundofase","Won","2017-12-18","2017-12-31","54","Engaged","Closed","Q4","technology",1983,"1008.06",1238,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"OSG9KZGB","Anna Snelling","GTX Plus Basic","Kan-Code","Engaging","2017-08-07",NULL,NULL,"Engaged","Open",NULL,"software",1982,"11698.03",34288,"United States",NULL,"GTX","1096","Dustin Brinkmann","Central"
"F4V2FXK0","Anna Snelling","MG Special","Isdom","Won","2017-06-13","2017-06-24","58","Engaged","Closed","Q2","medical",2002,"3178.24",4540,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"O6B0YK1X","Anna Snelling","MG Advanced","Conecom","Lost","2017-07-28","2017-08-03","0","Engaged","Closed","Q3","technology",2005,"1520.66",1806,"United States",NULL,"MG","3393","Dustin Brinkmann","Central"
"P7MSQO38","Anna Snelling","GTX Basic","Yearin","Engaging","2017-07-28",NULL,NULL,"Engaged","Open",NULL,"retail",2005,"2261.05",3851,"United States",NULL,"GTX","550","Dustin Brinkmann","Central"
"ZE84UHHB","Anna Snelling","MG Special","Inity","Won","2017-01-10","2017-03-26","59","Engaged","Closed","Q1","marketing",1986,"2403.58",8801,"United States",NULL,"MG","55","Dustin Brinkmann","Central"
"RSY2XLKK","Anna Snelling","MG Advanced","Streethex","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,"retail",1988,"1376.8",1165,"Belgium",NULL,"MG","3393","Dustin Brinkmann","Central"
"I8NC3RFB","Anna Snelling","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"Y7WAFW9D","Anna Snelling","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"5TGQL49J","Anna Snelling","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"OH0HJ6KK","Anna Snelling","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"YYUJ1DCF","Anna Snelling","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"D382N39B","Anna Snelling","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"FEEOZHT8","Anna Snelling","MG Advanced","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","3393","Dustin Brinkmann","Central"
"ZIMT5RQ2","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"7Q90C2VN","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"5ELMZN3E","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"ASDR6QEZ","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"JC7DDV56","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"JSTHYUCD","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"DYXD1AXO","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"V9JDJ861","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"D3ZJX20X","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"OXKLRULK","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"426EL41A","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
"EU4DPJGN","Anna Snelling","MG Special","Missing_Account","Prospecting",NULL,NULL,NULL,"Not Engaged","Open",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MG","55","Dustin Brinkmann","Central"
